Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
JC_ChainLinkGate_NoBarricadeBlockVariantHelper,blocks,block,,,Chain Link Gate (No Barricade),,"Kettengliedtor – doppelt, breit (Ohne Barrikade)",Puerta de alambre doble amplia (Sin Barricada),"Portail en grillage, double, large (Sans Barrière)",Pannello in rete doppio grande (Senza Barriera),チェーンリンク（ゲート・ダブル・幅広） (バリケードなし),체인 링크 문 더블 넓음 (방어막 없음),"Siatka stalowa — bramka, podwójna, szeroka (Bez Wzmocnienia)",Portão de elo de corrente duplo largo (Sem Barreira),Широкие двойные ворота из сетки-рабицы (Без Баррикады),"Çift Kanatlı Tel Örgü Kapı, Geniş (Barikat Yok)",双开链条门 宽 (无障碍),寬鍊條雙門 (無障礙)
JC_cellarDoorDoubleIron_NoBarricade,blocks,block,,,Iron Cellar Door (No Barricade),,Eisenkellertür (Ohne Barrikade),Puerta de sótano de hierro (Sin Barricada),Porte de sous-sol en fer (Sans Barrière),Porta della cantina di ferro (Senza Barriera),鉄製地下室ドア (バリケードなし),철제 창고 문 (방어막 없음),Żelazo – drzwi do piwnicy (Bez Wzmocnienia),Porta de porão de ferro (Sem Barreira),Железная дверь подвала (Без Баррикады),Demir Mahzen Kapısı (Barikat Yok),地窖铁门 (无障碍),鐵地窖門 (無障礙)
JC_cellarDoorDoubleSteel_NoBarricade,blocks,block,,,Steel Cellar Door (No Barricade),,Stahlkellertür (Ohne Barrikade),Puerta de sótano de acero (Sin Barricada),Porte de sous-sol en acier (Sans Barrière),Porta della cantina d'acciaio (Senza Barriera),鉄鋼製地下室ドア (バリケードなし),강철 창고 문 (방어막 없음),Stal – drzwi do piwnicy (Bez Wzmocnienia),Porta de porão de aço (Sem Barreira),Стальная дверь подвала (Без Баррикады),Çelik Mahzen Kapısı (Barikat Yok),地窖钢门 (无障碍),鋼地窖門 (無障礙)
JC_cellarDoorDoubleWood_NoBarricade,blocks,block,,,Wood Cellar Door (No Barricade),,Holzkellertür (Ohne Barrikade),Puerta de sótano de madera (Sin Barricada),Porte de sous-sol en bois (Sans Barrière),Porta della cantina di legno (Senza Barriera),木製地下室ドア (バリケードなし),목재 창고 문 (방어막 없음),Drewno – drzwi do piwnicy (Bez Wzmocnienia),Porta de porão de madeira (Sem Barreira),Деревянная дверь подвала (Без Баррикады),Tahta Mahzen Kapısı (Barikat Yok),地窖木门 (无障碍),木地窖門 (無障礙)
JC_chainlinkGateDoubleWide_NoBarricade,blocks,block,,,Chain Link Gate Double Wide (No Barricade),,"Kettengliedtor – doppelt, breit (Ohne Barrikade)",Puerta de alambre doble amplia (Sin Barricada),"Portail en grillage, double, large (Sans Barrière)",Pannello in rete doppio grande (Senza Barriera),チェーンリンク（ゲート・ダブル・幅広） (バリケードなし),체인 링크 문 더블 넓음 (방어막 없음),"Siatka stalowa — bramka, podwójna, szeroka (Bez Wzmocnienia)",Portão de elo de corrente duplo largo (Sem Barreira),Широкие двойные ворота из сетки-рабицы (Без Баррикады),"Çift Kanatlı Tel Örgü Kapı, Geniş (Barikat Yok)",双开链条门 宽 (无障碍),寬鍊條雙門 (無障礙)
JC_chainlinkGateDouble_NoBarricade,blocks,block,,,Chain Link Gate Double (No Barricade),,Kettengliedtor – doppelt (Ohne Barrikade),Puerta de alambre doble (Sin Barricada),"Portail en grillage, double (Sans Barrière)",Pannello in rete doppio (Senza Barriera),チェーンリンク（ゲート・ダブル） (バリケードなし),체인 링크 문 더블 (방어막 없음),"Siatka stalowa — bramka, podwójna (Bez Wzmocnienia)",Portão de elo de corrente duplo (Sem Barreira),Двойные ворота из сетки-рабицы (Без Баррикады),Çift Kanatlı Tel Örgü Kapı (Barikat Yok),双开链条门 (无障碍),鍊條雙門 (無障礙)
JC_closetDoor_BlockVariantHelper,blocks,block,,,Closet Door,,Weiße Schranktür,Puerta de armario blanca,Porte de placard blanche,Porta dell'armadio bianca,クローゼットドア（白）,흰색 옷장 문,Drzwi szafki – białe,Porta de guarda-roupa branca,Белая дверца стенного шкафа,Beyaz Dolap Kapağı,白色壁橱门,白色衣櫥門
JC_cntArmoireDoors_BlockVariantHelper,blocks,block,,,Armoire Doors,,Weiße Kleiderschranktüren,Puertas de armario blancas,Portes d'armoire blanches,Ante del guardaroba bianche,衣装タンス扉（白）,흰색 장식장 문,Drzwi garderoby – białe,Portas de armário brancas,Белые дверцы шкафа,Beyaz Gardırop Kapağı,白色衣柜门,白色雕飾衣櫃門
JC_commercialBulletproofGlassDoorDouble_NoBarricade,blocks,block,,,Commercial Bulletproof Glass Door Double (No Barricade),,Kommerzielle kugelsichere Glas-Doppeltür (Ohne Barrikade),Puerta comercial de cristal doble a prueba de balas (Sin Barricada),"Porte de commerce en verre pare-balles, double (Sans Barrière)",Doppia porta di vetro blindata commerciale (Senza Barriera),業務用防弾ガラスドア（ダブル） (バリケードなし),상업용 방탄 유리 이중문 (방어막 없음),"Drzwi przedsiębiorstwa – szklane, kuloodporne, podwójne (Bez Wzmocnienia)",Porta comercial de vidro dupla à prova de balas (Sem Barreira),Промышленная пуленепробиваемая двойная стеклянная дверь (Без Баррикады),Çift Kanatlı Kurşungeçirmez Ticari Cam Kapı (Barikat Yok),防弹商业玻璃双开门 (无障碍),商業防彈玻璃雙門 (無障礙)
JC_commercialBulletproofGlassDoor_NoBarricade,blocks,block,,,Commercial Bulletproof Glass Door (No Barricade),,Kommerzielle kugelsichere Glastür (Ohne Barrikade),Puerta comercial de cristal a prueba de balas (Sin Barricada),Porte de commerce en verre pare-balles (Sans Barrière),Porta di vetro blindata commerciale (Senza Barriera),業務用防弾ガラスドア (バリケードなし),상업용 방탄 유리 문 (방어막 없음),"Drzwi przedsiębiorstwa – szklane, kuloodporne (Bez Wzmocnienia)",Porta comercial de vidro à prova de balas (Sem Barreira),Промышленная пуленепробиваемая стеклянная дверь (Без Баррикады),Kurşungeçirmez Ticari Cam Kapı (Barikat Yok),防弹商业玻璃门 (无障碍),商業防彈玻璃門 (無障礙)
